Condition_Pair,Band,Subject,Channel,Feature_Type,Feature,Source_Column,BCM,ACM,Change,Change_Percent,Direction
BCM_vs_ACM,Gamma,14,TP9,BP,Gamma Band Power,RAW_TP9_BP_Gamma,751523.6664183155,699019.807117789,-52503.85930052644,-6.9863214755104694,Decrease
BCM_vs_ACM,Gamma,14,TP9,RP,Gamma Relative Power,RAW_TP9_RP_Gamma,0.386492247755842,0.3921817050977618,0.005689457341919779,1.4720754102974838,Increase
BCM_vs_ACM,Gamma,14,TP9,HJ,Hjorth Activity,RAW_TP9_HJ_Activity,1972352.40596704,1812362.4753310247,-159989.93063601526,-8.111630059212088,Decrease
BCM_vs_ACM,Gamma,14,TP9,HJ,Hjorth Complexity,RAW_TP9_HJ_Complexity,1.3293659873089798,1.3206870176163374,-0.008678969692642369,-0.6528653339635315,Decrease
BCM_vs_ACM,Gamma,14,TP9,HJ,Hjorth Mobility,RAW_TP9_HJ_Mobility,0.662644578317564,0.6680478222782341,0.0054032439606701566,0.8154060468417084,Increase
BCM_vs_ACM,Gamma,16,AF7,EN,Entropy,RAW_AF7_EN,5.408280770167084,5.408253572985302,-2.7197181782234736e-05,-0.0005028803595452849,Decrease
BCM_vs_ACM,Gamma,16,AF7,BP,Gamma Band Power,RAW_AF7_BP_Gamma,903161.493112683,748995.5250847216,-154165.96802796132,-17.06959045570456,Decrease
BCM_vs_ACM,Gamma,16,AF7,RP,Gamma Relative Power,RAW_AF7_RP_Gamma,0.3714879154416841,0.3942939131456937,0.022805997704009595,6.139095447262177,Increase
BCM_vs_ACM,Gamma,16,AF7,HJ,Hjorth Activity,RAW_AF7_HJ_Activity,2442847.796990736,1978991.109588776,-463856.6874019599,-18.98835809473557,Decrease
BCM_vs_ACM,Gamma,16,AF7,HJ,Hjorth Complexity,RAW_AF7_HJ_Complexity,1.3295220161393468,1.3182415850620348,-0.011280431077312025,-0.8484576366826954,Decrease
BCM_vs_ACM,Gamma,16,AF7,HJ,Hjorth Mobility,RAW_AF7_HJ_Mobility,0.6579866996606233,0.669502049829859,0.01151535016923566,1.7500885922428302,Increase
BCM_vs_ACM,Gamma,16,AF8,EN,Entropy,RAW_AF8_EN,5.415605795807663,5.402600676132455,-0.013005119675207233,-0.2401415495432621,Decrease
BCM_vs_ACM,Gamma,16,AF8,BP,Gamma Band Power,RAW_AF8_BP_Gamma,722875.9283312624,678617.5246851094,-44258.40364615305,-6.122544950185609,Decrease
BCM_vs_ACM,Gamma,16,AF8,RP,Gamma Relative Power,RAW_AF8_RP_Gamma,0.3864379940779539,0.3970746393269634,0.010636645249009535,2.752484334359697,Increase
BCM_vs_ACM,Gamma,16,AF8,HJ,Hjorth Activity,RAW_AF8_HJ_Activity,1900681.1761997144,1756122.3303054278,-144558.84589428664,-7.605633585708595,Decrease
BCM_vs_ACM,Gamma,16,AF8,HJ,Hjorth Complexity,RAW_AF8_HJ_Complexity,1.3376017794408612,1.309513824251014,-0.02808795518984719,-2.0998742392215117,Decrease
BCM_vs_ACM,Gamma,16,AF8,HJ,Hjorth Mobility,RAW_AF8_HJ_Mobility,0.6615524556842727,0.6694897251957141,0.00793726951144147,1.199794429488075,Increase
BCM_vs_ACM,Gamma,16,TP10,EN,Entropy,RAW_TP10_EN,5.412173046734057,5.401326090064533,-0.010846956669523955,-0.200417772600037,Decrease
BCM_vs_ACM,Gamma,16,TP10,BP,Gamma Band Power,RAW_TP10_BP_Gamma,721310.1562932923,684165.9209117738,-37144.23538151849,-5.149551140718342,Decrease
BCM_vs_ACM,Gamma,16,TP10,RP,Gamma Relative Power,RAW_TP10_RP_Gamma,0.3658024204925478,0.3852464032930915,0.019443982800543713,5.315433062023664,Increase
BCM_vs_ACM,Gamma,16,TP10,HJ,Hjorth Activity,RAW_TP10_HJ_Activity,2050382.2717192683,1818742.9613372888,-231639.31038197945,-11.297371888986698,Decrease
BCM_vs_ACM,Gamma,16,TP10,HJ,Hjorth Complexity,RAW_TP10_HJ_Complexity,1.350477572950621,1.3242127690120935,-0.026264803938527592,-1.9448530256701968,Decrease
BCM_vs_ACM,Gamma,16,TP10,HJ,Hjorth Mobility,RAW_TP10_HJ_Mobility,0.6492808943399573,0.6605699178370444,0.011289023497087158,1.7386963940411795,Increase
BCM_vs_ACM,Gamma,16,TP9,EN,Entropy,RAW_TP9_EN,5.397441073760335,5.409504762427595,0.012063688667259598,0.22350755668102115,Increase
BCM_vs_ACM,Gamma,16,TP9,BP,Gamma Band Power,RAW_TP9_BP_Gamma,729179.8769034958,680763.7525099239,-48416.12439357187,-6.639805338454171,Decrease
BCM_vs_ACM,Gamma,16,TP9,RP,Gamma Relative Power,RAW_TP9_RP_Gamma,0.3752153121426871,0.3904672656667193,0.015251953524032191,4.0648537067784085,Increase
BCM_vs_ACM,Gamma,16,TP9,HJ,Hjorth Activity,RAW_TP9_HJ_Activity,1988748.8144064527,1752578.291113219,-236170.5232932337,-11.87533194651932,Decrease
BCM_vs_ACM,Gamma,16,TP9,HJ,Hjorth Complexity,RAW_TP9_HJ_Complexity,1.3389205975402632,1.3226843836446236,-0.016236213895639562,-1.2126345599184285,Decrease
BCM_vs_ACM,Gamma,16,TP9,HJ,Hjorth Mobility,RAW_TP9_HJ_Mobility,0.655664440963715,0.6656458372381333,0.009981396274418297,1.5223330183572783,Increase
BCM_vs_ACM,Gamma,22,AF7,EN,Entropy,RAW_AF7_EN,5.397841435841048,5.402350817772242,0.004509381931193879,0.08354046677347912,Increase
BCM_vs_ACM,Gamma,22,AF7,BP,Gamma Band Power,RAW_AF7_BP_Gamma,694916.8283286917,701867.3835306809,6950.555201989249,1.0001995805319133,Increase
BCM_vs_ACM,Gamma,22,AF7,RP,Gamma Relative Power,RAW_AF7_RP_Gamma,0.40340756177105,0.386188683964882,-0.017218877806168043,-4.268357720061887,Decrease
BCM_vs_ACM,Gamma,22,AF7,HJ,Hjorth Activity,RAW_AF7_HJ_Activity,1774807.125842812,1855673.557198056,80866.43135524401,4.5563503874733735,Increase
BCM_vs_ACM,Gamma,22,AF7,HJ,Hjorth Complexity,RAW_AF7_HJ_Complexity,1.305842770171415,1.321043470220376,0.015200700048960902,1.16405285507424,Increase
BCM_vs_ACM,Gamma,22,AF7,HJ,Hjorth Mobility,RAW_AF7_HJ_Mobility,0.6731248594124947,0.6668849916422241,-0.006239867770270524,-0.927000048061915,Decrease
BCM_vs_ACM,Gamma,22,AF8,EN,Entropy,RAW_AF8_EN,5.4053285817415935,5.400305713679187,-0.0050228680624062605,-0.09292437983090929,Decrease
BCM_vs_ACM,Gamma,22,AF8,BP,Gamma Band Power,RAW_AF8_BP_Gamma,796744.3627057337,771148.8806811848,-25595.482024548925,-3.212508707011995,Decrease
BCM_vs_ACM,Gamma,22,AF8,RP,Gamma Relative Power,RAW_AF8_RP_Gamma,0.3961567098045647,0.3906697372260824,-0.0054869725784822965,-1.3850510272031427,Decrease
BCM_vs_ACM,Gamma,22,AF8,HJ,Hjorth Activity,RAW_AF8_HJ_Activity,2020381.148836136,1975561.129522391,-44820.0193137452,-2.21839425395373,Decrease
BCM_vs_ACM,Gamma,22,AF8,HJ,Hjorth Complexity,RAW_AF8_HJ_Complexity,1.315931022130051,1.317697814511417,0.0017667923813660114,0.13426177752889867,Increase
BCM_vs_ACM,Gamma,22,AF8,HJ,Hjorth Mobility,RAW_AF8_HJ_Mobility,0.6721525309492588,0.6681524259113861,-0.0040001050378726255,-0.5951186454990223,Decrease
BCM_vs_ACM,Gamma,22,TP10,EN,Entropy,RAW_TP10_EN,5.405457649718593,5.408393449039108,0.0029357993205154642,0.054311762495601115,Increase
