Condition_Pair,Band,Subject,Channel,Feature_Type,Feature,Source_Column,BF,AF,Change,Change_Percent,Direction
BF_vs_AF,Gamma,14,TP10,HJ,Hjorth Activity,RAW_TP10_HJ_Activity,1787065.4180087892,1647494.9280586191,-139570.48995017004,-7.810038096181413,Decrease
BF_vs_AF,Gamma,14,TP10,HJ,Hjorth Complexity,RAW_TP10_HJ_Complexity,1.3357114799441572,1.3264806938122398,-0.009230786131917412,-0.6910763492354898,Decrease
BF_vs_AF,Gamma,14,TP10,HJ,Hjorth Mobility,RAW_TP10_HJ_Mobility,0.6623221437451652,0.6649466518259892,0.0026245080808240395,0.3962585436119503,Increase
BF_vs_AF,Gamma,14,TP9,EN,Entropy,RAW_TP9_EN,5.411111927637603,5.415461705870888,0.004349778233284418,0.08038603324887156,Increase
BF_vs_AF,Gamma,14,TP9,BP,Gamma Band Power,RAW_TP9_BP_Gamma,675594.3823563585,658237.5007910326,-17356.881565325893,-2.569127573972424,Decrease
BF_vs_AF,Gamma,14,TP9,RP,Gamma Relative Power,RAW_TP9_RP_Gamma,0.3876062258424428,0.38808311028656,0.0004768844441171982,0.12303322607388817,Increase
BF_vs_AF,Gamma,14,TP9,HJ,Hjorth Activity,RAW_TP9_HJ_Activity,1839293.847532605,1712740.5992803234,-126553.24825228169,-6.8805345280772645,Decrease
BF_vs_AF,Gamma,14,TP9,HJ,Hjorth Complexity,RAW_TP9_HJ_Complexity,1.33126976007373,1.3311818317198911,-8.7928353838862e-05,-0.006604848729831604,Decrease
BF_vs_AF,Gamma,14,TP9,HJ,Hjorth Mobility,RAW_TP9_HJ_Mobility,0.6606715267826659,0.6678277032618816,0.007156176479215626,1.0831670791179284,Increase
BF_vs_AF,Gamma,16,AF7,EN,Entropy,RAW_AF7_EN,5.412749893534896,5.4128863156029245,0.00013642206802888523,0.0025203837367736254,Increase
BF_vs_AF,Gamma,16,AF7,BP,Gamma Band Power,RAW_AF7_BP_Gamma,953629.7815990814,950971.8217346388,-2657.959864442586,-0.2787203079989408,Decrease
BF_vs_AF,Gamma,16,AF7,RP,Gamma Relative Power,RAW_AF7_RP_Gamma,0.3880751242905395,0.3929979463208839,0.0049228220303444425,1.2685229539883836,Increase
BF_vs_AF,Gamma,16,AF7,HJ,Hjorth Activity,RAW_AF7_HJ_Activity,2532504.054883742,2437649.706465341,-94854.34841840062,-3.7454766651007416,Decrease
BF_vs_AF,Gamma,16,AF7,HJ,Hjorth Complexity,RAW_AF7_HJ_Complexity,1.3249046367576225,1.32311071192716,-0.0017939248304625899,-0.1354002983077166,Decrease
BF_vs_AF,Gamma,16,AF7,HJ,Hjorth Mobility,RAW_AF7_HJ_Mobility,0.6611586890773921,0.6695057130657237,0.008347023988331648,1.2624842002726195,Increase
BF_vs_AF,Gamma,16,AF8,EN,Entropy,RAW_AF8_EN,5.405932200065454,5.418323816047479,0.012391615982025428,0.22922255632202326,Increase
BF_vs_AF,Gamma,16,AF8,BP,Gamma Band Power,RAW_AF8_BP_Gamma,714465.6031035308,614803.0741848836,-99662.52891864721,-13.949241011145702,Decrease
BF_vs_AF,Gamma,16,AF8,RP,Gamma Relative Power,RAW_AF8_RP_Gamma,0.3968805684035021,0.3738216944981494,-0.023058873905352717,-5.81002844208516,Decrease
BF_vs_AF,Gamma,16,AF8,HJ,Hjorth Activity,RAW_AF8_HJ_Activity,1865074.5159518651,1638246.2235582292,-226828.29239363596,-12.161888999800697,Decrease
BF_vs_AF,Gamma,16,AF8,HJ,Hjorth Complexity,RAW_AF8_HJ_Complexity,1.318517094371881,1.3340934571218996,0.015576362750018724,1.1813546306306357,Increase
BF_vs_AF,Gamma,16,AF8,HJ,Hjorth Mobility,RAW_AF8_HJ_Mobility,0.6642666168599309,0.6575948773810025,-0.006671739478928407,-1.0043767531878285,Decrease
BF_vs_AF,Gamma,16,TP10,EN,Entropy,RAW_TP10_EN,5.407589599651709,5.418189457564101,0.010599857912391819,0.19601816515577536,Increase
BF_vs_AF,Gamma,16,TP10,BP,Gamma Band Power,RAW_TP10_BP_Gamma,695741.6693471873,668575.1776250296,-27166.49172215769,-3.9046808490927307,Decrease
BF_vs_AF,Gamma,16,TP10,RP,Gamma Relative Power,RAW_TP10_RP_Gamma,0.38543723468918,0.3740462752290548,-0.011390959460125194,-2.9553344708149343,Decrease
BF_vs_AF,Gamma,16,TP10,HJ,Hjorth Activity,RAW_TP10_HJ_Activity,1856915.4278093567,1800481.459338237,-56433.968471119646,-3.0391243255324785,Decrease
BF_vs_AF,Gamma,16,TP10,HJ,Hjorth Complexity,RAW_TP10_HJ_Complexity,1.3325158098766767,1.3417180025914348,0.009202192714758084,0.6905878824514464,Increase
BF_vs_AF,Gamma,16,TP10,HJ,Hjorth Mobility,RAW_TP10_HJ_Mobility,0.6609672869358113,0.6538176994558128,-0.007149587479998498,-1.0816855268501084,Decrease
BF_vs_AF,Gamma,16,TP9,EN,Entropy,RAW_TP9_EN,5.417061019837552,5.412194053823149,-0.0048669660144033955,-0.0898451392107329,Decrease
BF_vs_AF,Gamma,16,TP9,BP,Gamma Band Power,RAW_TP9_BP_Gamma,704199.6552126503,717674.9122617703,13475.257049120031,1.913556325876196,Increase
BF_vs_AF,Gamma,16,TP9,RP,Gamma Relative Power,RAW_TP9_RP_Gamma,0.3852599835561329,0.372693985257193,-0.012565998298939896,-3.261693099540148,Decrease
BF_vs_AF,Gamma,16,TP9,HJ,Hjorth Activity,RAW_TP9_HJ_Activity,1836068.3692899344,1899948.922507688,63880.553217753535,3.4792034047434828,Increase
BF_vs_AF,Gamma,16,TP9,HJ,Hjorth Complexity,RAW_TP9_HJ_Complexity,1.32776267314769,1.3360176757187765,0.008255002571086578,0.6217227474482826,Increase
BF_vs_AF,Gamma,16,TP9,HJ,Hjorth Mobility,RAW_TP9_HJ_Mobility,0.6652488239297132,0.6542471214037031,-0.011001702526010071,-1.6537725630271018,Decrease
BF_vs_AF,Gamma,22,AF7,EN,Entropy,RAW_AF7_EN,5.40835871787011,5.39293844816052,-0.01542026970958954,-0.2851192110951965,Decrease
BF_vs_AF,Gamma,22,AF7,BP,Gamma Band Power,RAW_AF7_BP_Gamma,682069.390429671,692888.5958656103,10819.20543593925,1.586232366933175,Increase
BF_vs_AF,Gamma,22,AF7,RP,Gamma Relative Power,RAW_AF7_RP_Gamma,0.3920994670016039,0.3963921225054289,0.00429265550382496,1.0947873856220776,Increase
BF_vs_AF,Gamma,22,AF7,HJ,Hjorth Activity,RAW_AF7_HJ_Activity,1725070.8837148687,1709068.330583103,-16002.553131765686,-0.9276461206802616,Decrease
BF_vs_AF,Gamma,22,AF7,HJ,Hjorth Complexity,RAW_AF7_HJ_Complexity,1.3149022499542076,1.3043191479014442,-0.01058310205276336,-0.8048584640517517,Decrease
BF_vs_AF,Gamma,22,AF7,HJ,Hjorth Mobility,RAW_AF7_HJ_Mobility,0.6683052328224894,0.6701940809637351,0.0018888481412456803,0.28263255298307427,Increase
BF_vs_AF,Gamma,22,AF8,EN,Entropy,RAW_AF8_EN,5.402880910778154,5.409017157394779,0.006136246616625485,0.11357360485929548,Increase
BF_vs_AF,Gamma,22,AF8,BP,Gamma Band Power,RAW_AF8_BP_Gamma,725576.2507412792,702394.8752674042,-23181.37547387497,-3.1948917085133233,Decrease
BF_vs_AF,Gamma,22,AF8,RP,Gamma Relative Power,RAW_AF8_RP_Gamma,0.387707005488177,0.3926954039281469,0.004988398439969899,1.2866412959675082,Increase
BF_vs_AF,Gamma,22,AF8,HJ,Hjorth Activity,RAW_AF8_HJ_Activity,1851831.1536352865,1822314.3844642525,-29516.769171033986,-1.5939233505760124,Decrease
BF_vs_AF,Gamma,22,AF8,HJ,Hjorth Complexity,RAW_AF8_HJ_Complexity,1.3165817674248788,1.3154769115678666,-0.0011048558570121436,-0.08391851416666259,Decrease
