Condition_Pair,Band,Subject,Channel,Feature_Type,Feature,Source_Column,BCF,ACF,Change,Change_Percent,Direction
BCF_vs_ACF,Gamma,22,AF7,BP,Gamma Band Power,RAW_AF7_BP_Gamma,669187.0762238908,703063.4407837562,33876.36455986544,5.062316019464097,Increase
BCF_vs_ACF,Gamma,22,AF7,RP,Gamma Relative Power,RAW_AF7_RP_Gamma,0.4024780475452119,0.4045303688985354,0.002052321353323505,0.5099213151725897,Increase
BCF_vs_ACF,Gamma,22,AF7,HJ,Hjorth Activity,RAW_AF7_HJ_Activity,1675846.5107154043,1752353.2093857308,76506.6986703265,4.565256912321073,Increase
BCF_vs_ACF,Gamma,22,AF7,HJ,Hjorth Complexity,RAW_AF7_HJ_Complexity,1.3096508172068455,1.3086574263862576,-0.0009933908205879138,-0.07585157872130875,Decrease
BCF_vs_ACF,Gamma,22,AF7,HJ,Hjorth Mobility,RAW_AF7_HJ_Mobility,0.6731702795565919,0.6742889153862793,0.0011186358296874088,0.16617427472054158,Increase
BCF_vs_ACF,Gamma,22,AF8,EN,Entropy,RAW_AF8_EN,5.405914463814855,5.402543900887834,-0.0033705629270208703,-0.062349542331499,Decrease
BCF_vs_ACF,Gamma,22,AF8,BP,Gamma Band Power,RAW_AF8_BP_Gamma,736263.1962524257,763864.1735161517,27600.97726372606,3.748792198797228,Increase
BCF_vs_ACF,Gamma,22,AF8,RP,Gamma Relative Power,RAW_AF8_RP_Gamma,0.4018581769713509,0.4011852789254991,-0.0006728980458517997,-0.16744664770122908,Decrease
BCF_vs_ACF,Gamma,22,AF8,HJ,Hjorth Activity,RAW_AF8_HJ_Activity,1855757.217309496,1935247.1331726504,79489.91586315446,4.283422158982634,Increase
BCF_vs_ACF,Gamma,22,AF8,HJ,Hjorth Complexity,RAW_AF8_HJ_Complexity,1.3040873851655348,1.3026952685636708,-0.0013921166018640019,-0.1067502544461231,Decrease
BCF_vs_ACF,Gamma,22,AF8,HJ,Hjorth Mobility,RAW_AF8_HJ_Mobility,0.6761048255294112,0.6742213622011664,-0.0018834633282448499,-0.2785756375529548,Decrease
BCF_vs_ACF,Gamma,22,TP10,EN,Entropy,RAW_TP10_EN,5.406011010188747,5.404352745428109,-0.0016582647606382395,-0.03067446140070555,Decrease
BCF_vs_ACF,Gamma,22,TP10,BP,Gamma Band Power,RAW_TP10_BP_Gamma,669481.4458669703,648210.6048183043,-21270.841048666043,-3.177211434309515,Decrease
BCF_vs_ACF,Gamma,22,TP10,RP,Gamma Relative Power,RAW_TP10_RP_Gamma,0.4000311986873178,0.3921914572855817,-0.0078397414017361,-1.9597824938309354,Decrease
BCF_vs_ACF,Gamma,22,TP10,HJ,Hjorth Activity,RAW_TP10_HJ_Activity,1674367.613298392,1665650.509735773,-8717.103562618839,-0.5206206506495148,Decrease
